scenario,source_distance_from_first_m,source_distance_from_second_m,reception_radius_m,reception_retained,crossing_angle_deg,observation,diameter_m,mec_radius_m,mec_center_x_m,mec_center_y_m,diameter_circle_covers,true_source_inside_bearing_region
14726,860.0086036304378,589.1700289254056,1166.440535612737,True,85.09000693511219,direction,37.33560914049953,18.667804570249764,858.5153700937444,-0.19431138662548086,True,True
14727,1030.098535825808,619.8833313291617,1045.2656457846697,True,69.5902678151176,direction,51.71182105031551,25.855910525157753,1038.4647571565022,-0.321836183759892,True,True
14728,1075.0999298499548,642.0677353779831,1316.7843291928734,True,65.70160145570122,direction,53.91003031810043,26.955015159050216,1060.383162464693,-0.3420425209476594,True,True
14729,691.7848650222925,588.3883379361743,1022.4120858131098,True,77.56959330050094,direction,35.85548866682919,17.927744333414594,682.4787185134046,0.23385315288840047,True,True
14730,724.9511300340185,573.3434633701844,1265.6363197860305,True,79.90404797965019,direction,35.42355904675219,17.711779523376094,717.9496048106313,0.21847417433986038,True,True
14731,641.8282786547837,601.3788615241917,1174.744081538116,True,72.9457010298221,direction,36.52270469939058,18.26135234969529,640.5996160210432,0.2520105175921685,True,True
14732,1204.5448110907903,709.2955413852515,1442.7078210465647,True,56.060491021559,direction,71.2739070153834,35.6369535076917,1205.9494929259106,-0.5019334478620525,True,True
14733,588.8781963633686,613.8045126670698,1201.6109899391627,True,67.51544317370372,direction,37.3801316486219,18.69006582431095,597.3987757119493,0.2707409431819201,True,True
14734,637.0210734034224,595.3041898055494,1207.4119592911773,True,71.56692600452591,direction,36.68445485937169,18.342227429685845,631.7634676874145,0.2558415731382979,True,True
14735,1006.5972970837958,615.9915757808786,1164.751991424381,True,71.53942081626816,direction,47.539302827214435,23.769651413607217,993.6733631620193,-0.28369718259757093,True,True
14736,387.4710103199205,716.2014204808395,1016.1669063848977,True,52.62347835083105,direction,44.18134310621826,22.09067155310913,371.72325599884925,0.3685862281155323,True,True
14737,1285.1046231383314,725.0757531621251,1410.898267298891,True,50.82454549985627,direction,83.49986848152267,41.749934240761334,1289.4570341338795,-0.6137799813642424,True,True
14738,1017.8937533694916,622.2845278499133,1461.5849126207333,True,70.47763255367184,direction,48.7976039856457,24.39880199282285,1007.6666151520221,-0.29515715894000927,True,True
14739,737.9528250538657,582.0635439192043,1224.3973888983041,True,82.19741744086886,direction,35.24684519208269,17.623422596041344,736.6362572893898,0.21037227281959758,True,True
14740,491.4665638205543,655.9825266510521,1052.2819747175338,True,59.40781715386125,direction,40.03041540220497,20.015207701102486,495.0006540786537,0.3151373110317195,True,True
14741,852.3252300444976,568.7600112351165,1340.2890093303495,True,87.04706839318497,direction,37.00856781639065,18.504283908195326,853.3259970127393,-0.19164965635025144,True,True
14742,70.26197945978834,942.8435099663294,1123.7081312598305,True,36.7864351882718,direction,56.78985976527509,28.394929882637545,80.07630919842302,0.4950344961685573,True,True
14743,1048.3139084546158,634.4556445865986,1212.6357533769008,True,67.85183146434152,direction,52.001502042154506,26.000751021077253,1041.4138247529693,-0.32449587068278163,True,True
14744,802.1724302744955,578.7018693851162,1180.1144872789455,True,88.6654462996546,direction,34.906154618800144,17.45514035346411,806.9211774264345,0.0214378942128656,False,True
14745,1181.21571806504,677.7480165095636,1192.8897048941833,True,57.74047850081429,direction,66.77995947565631,33.389979737828156,1171.9796933517273,-0.46062942350290825,True,True
14746,824.7564093067327,569.0394054105927,1193.0402322606549,True,89.7540646270252,direction,35.87855630262204,17.93927815131102,834.8365998956187,-0.18262937869771356,True,True
14747,549.7630695453072,633.4348404876625,1213.3549758233025,True,64.80228286081181,direction,38.39654174866713,19.198270874333566,554.2529020978885,0.2894475370687246,True,True
14748,692.9363506070589,579.8040089818966,1184.8875119420682,True,76.78691082833882,direction,35.73927417372652,17.86963708686326,691.0828881224382,0.23012267548403997,True,True
14749,248.33339376945338,807.4088883481056,1276.2413900061176,True,44.418691786255,direction,49.355459125794134,24.677729562897067,243.14542301687567,0.4243332347925275,True,True
14750,1037.484843273367,620.599599263436,1221.3048999837042,True,68.99813330528293,direction,50.6059341136095,25.30296705680475,1027.0261998678998,-0.3116937317459012,True,True
14751,241.1125083925091,813.3592016204825,1288.0178307561239,True,44.3833878641992,direction,49.201756336380974,24.600878168190487,246.73102022742603,0.42277864091738593,True,True
14752,379.9040625474944,726.3379489952922,1082.1088667484485,True,53.52107611794262,direction,43.723338363240636,21.861669181620318,384.133108770007,0.363205734998985,True,True
14753,1054.1709013216198,632.1610096942651,1108.6728449972913,True,67.46002637678497,direction,52.63495883324505,26.317479416622525,1047.7969917389537,-0.3303155405057421,True,True
14754,1008.2862171766652,621.0520992010084,1141.494608970662,True,71.26076712831211,direction,48.7132561538616,24.3566280769308,1006.7425280894716,-0.2943876113828505,True,True
14755,625.5706976666933,610.7493066765603,1039.6775496675975,True,72.03813278204585,direction,36.808768989758924,18.404384494879462,625.2225494872262,0.25867749440180887,True,True
14756,666.8805814541248,601.1768357097982,1321.6050687056354,True,76.00903153313546,direction,36.11202408456977,18.056012042284884,665.1070388644641,0.24138492659250232,True,True
14757,692.9193232207991,595.4596694204175,1036.3090089649766,True,78.44543871525019,direction,35.67021872454209,17.835109362271044,696.4696362301905,0.22778716339951188,True,True
14758,1067.1075324076469,640.0805969217782,1219.5666990023674,True,66.33054861601934,direction,53.622538808016756,26.811269404008378,1057.5750533366968,-0.33939713938063854,True,True
14759,620.6275872034806,611.7197607268998,1398.2865212125498,True,71.52460099736255,direction,36.85753947352694,18.42876973676347,622.7104214159251,0.259766668306213,True,True
14760,991.7426892003454,606.0471199828116,1309.6890067953227,True,73.0303581404299,direction,47.46461565176806,23.73230782588403,992.8284127847471,-0.2830184386498331,True,True
14761,973.550296956237,596.2212969902619,1200.2946271752871,True,74.85605354660795,direction,46.455827599898136,23.227913799949068,981.2499011695193,-0.27386941612793336,True,True
14762,824.6629865249921,580.8186941929383,1277.3493801854256,True,88.95808426123742,direction,35.11994528843499,17.559972644217495,821.9017853768012,-0.17674915385671408,True,True
14763,611.6777781643024,607.9634085031571,1085.5994640818817,True,69.84814461651408,direction,36.997300039637246,18.498650019818623,615.666556582235,0.26282065024702206,True,True
14764,1117.584013805583,647.5991465876946,1284.107557762479,True,62.49996251392889,direction,59.32529169700075,29.662645848500375,1110.3988090015791,-0.39194585738515997,True,True
14765,1073.2413950320058,614.4935750874962,1093.306272973005,True,66.33413435820033,direction,55.51262103750282,27.75631051875141,1075.7357143473564,-0.3567994876758487,True,True
14766,682.5576319389072,582.0466312916295,1476.1703619208488,True,75.76837174388466,direction,35.842780363127254,17.921390181563627,683.3941301982682,0.23345626129270158,True,True
14767,949.2308896533239,594.7252183736806,1388.8915917472495,True,76.96075722790516,direction,44.34766119516583,22.173830597582914,955.9819314141494,-0.2548869339851585,True,True
14768,717.1118899459987,585.5824360515411,1283.2543123996377,True,80.2074605866828,direction,35.35635562651387,17.678177813256934,724.6247667574678,0.21558004952072451,True,True
14769,1009.2175251287117,595.8991108375054,1140.098605806234,True,71.90304537909887,direction,49.289212885391194,24.644606442695597,1013.0141331821912,-0.29964579680743775,True,True
14770,1127.2001612564795,664.6331063117427,1408.8119556307302,True,61.614506650872876,direction,61.92969952545029,30.964849762725144,1132.7551953408492,-0.41595733272662727,True,True
14771,1111.99162689344,647.7940642075343,1300.817653003069,True,62.90595694151567,direction,58.2674993697221,29.13374968486105,1101.02587159426,-0.3821923768758637,True,True
14772,969.1249691940774,585.0801747172383,1429.8444039807937,True,75.62608908912514,direction,46.08308429690986,23.04154214845493,976.8909951793958,-0.27049850984006163,True,True
14773,1445.4028582665342,835.4152184446679,1463.0593651258591,True,42.2689045675422,direction,113.75347880713146,56.87673940356573,1459.975451953574,-0.8875571740966901,True,True
14774,105.6996933930706,916.2623060381667,1113.1614790530646,True,39.57928250438906,direction,56.32581988039127,28.162909940195636,89.78846654016229,0.4908236326969586,True,True
14775,666.5020212080838,589.6369870803554,1017.8177466957752,True,74.64693205149614,direction,36.27985242752609,18.139926213763044,654.6806665547037,0.24590544955742644,True,True
14776,674.9077674067505,588.2210959941112,1271.2091034903935,True,75.52264026922232,direction,35.96169702744552,17.98084851372276,675.0454217908275,0.23707597934622981,True,True
14777,489.01357269227253,663.9886496587321,1291.6147152126232,True,60.47916923588483,direction,40.3313145921099,20.16565729605495,485.0000133003682,0.31947325118034087,True,True
14778,1125.992310843835,648.9873658246083,1155.789745499816,True,61.870890596766685,direction,60.88621233973791,30.443106169868955,1123.9160264121588,-0.4063379112872383,True,True
14779,653.5892792519497,593.3192375177363,1093.3736825248106,True,73.46005666259344,direction,36.2266072382643,18.11330361913215,657.9201131952393,0.24450093488087532,True,True
14780,1414.319613843483,824.9202361738585,1448.8165269269255,True,43.91918460280824,direction,103.13120995558657,51.565604977793285,1404.5201835042585,-0.7918479772054283,True,True
14781,1075.899516743392,629.2022650284256,1214.3467606687886,True,65.87172779741692,direction,55.253169794639824,27.626584897319912,1073.2838503028402,-0.35440938139109157,True,True
14782,1154.7779647716452,673.9524178007568,1485.6427452756063,True,59.59714618716734,direction,63.31761087744483,31.658805438722414,1144.2812972470886,-0.4287480908506769,True,True
14783,1111.642417704467,662.4089712276775,1285.6739453591144,True,62.74069206919188,direction,59.4703380322194,29.7351690161097,1111.6703488377152,-0.3932832853253707,True,True
14784,1031.3324067335448,609.8536770955843,1322.5368631952863,True,69.74130060703615,direction,51.87820487683772,25.93910243841886,1040.1609476962844,-0.32336369106812946,True,True
14785,867.343506996718,586.1482483095555,1401.3259077736734,True,84.59056314763406,direction,38.23480357140814,19.11740178570407,872.4355302670626,-0.2017327632422763,True,True
14786,29.179838664052646,976.3342509331029,1064.4482704225227,True,36.30111924192311,direction,42.55578552676864,21.27789276338432,21.27465203725467,0.37135043263549505,True,True
14787,723.1474021555049,577.4301110400191,1027.6443474020546,True,80.09662677149869,direction,35.459819948419515,17.729909974209757,714.5217932277967,0.2199603576948448,True,True
14788,1280.0951248408785,728.2929318971459,1340.6779957533386,True,51.172062145959046,direction,83.23365633200696,41.61682816600348,1287.7540978537254,-0.6113528987940793,True,True
14789,748.5095440571856,591.5799232957111,1193.8802578173888,True,84.18240600919775,direction,35.21017966103278,17.60508983051639,741.0667416896129,0.20845136438845202,True,True
14790,1271.5791578555352,715.604525043609,1324.8324353134756,True,51.65705153116981,direction,82.46061252443106,41.23030626221553,1282.7831463331029,-0.6043029309283341,True,True
14791,1137.6520228213499,671.9301829179217,1446.456399444977,True,60.805140191103696,direction,61.73882620222991,30.869413101114954,1131.1497280936892,-0.41419791477126644,True,True
14792,404.0504581269868,707.8932013357758,1111.7253059570553,True,54.07568269413732,direction,42.69684998727828,21.34842499363914,412.8159640715253,0.35076981747795344,True,True
14793,873.9463244031699,567.8504149671154,1356.536654223005,True,85.0156121784181,direction,37.90087742755608,18.95043871377804,867.3240977775796,-0.19896002299459958,True,True
14794,220.52187074837457,829.3980735136679,1470.275091901587,True,43.92467368160598,direction,50.796714667946055,25.398357333973028,210.0395000334097,0.4386868451062469,True,True
14795,558.1475201506594,623.3333353001875,1063.40034459381,True,64.46651559402932,direction,38.42467401087981,19.212337005439906,553.143629556261,0.2899284801857789,True,True
14796,1011.3254090300665,610.877944228523,1201.651038698487,True,71.30960226700093,direction,49.61505482622423,24.807527413112116,1016.5230560515399,-0.30262395213623705,True,True
14797,705.6908665432326,587.6431149162623,1430.746922559745,True,79.11109165470323,direction,35.4584902794224,17.7292451397112,714.6455410530943,0.21990670481636698,True,True
14798,1112.7464134209495,651.411757901321,1196.4955240573258,True,62.80526910730799,direction,58.08756668901744,29.04378334450872,1099.4136457115846,-0.380533359721575,True,True
14799,746.6669238892221,590.8561185137768,1099.0911848321057,True,83.92508110715781,direction,35.22998805876295,17.614994029381474,738.6430117737634,0.20950221183761641,True,True
14800,1128.8111793532596,652.1533054445869,1493.4193830275708,True,61.63319517936646,direction,62.410598140840136,31.205299070420068,1136.7780260836341,-0.4203897653746047,True,True
14801,858.7902191877665,577.5087404552443,1401.1929918233645,True,85.89320099399885,direction,37.11660987469079,18.558304937345394,855.0480910961792,-0.19252663372341772,True,True
