scenario,source_distance_from_first_m,source_distance_from_second_m,reception_radius_m,reception_retained,crossing_angle_deg,observation,diameter_m,mec_radius_m,mec_center_x_m,mec_center_y_m,diameter_circle_covers,true_source_inside_bearing_region
16694,1374.860254614533,786.2571818024592,1499.0879942367123,True,45.75640670626294,direction,100.16399486837732,50.08199743418866,1388.282510836033,-0.7650396727159201,True,True
16695,1194.713943639514,698.7013388798314,1266.7398576323671,True,56.74378831764795,direction,70.07166816912492,35.03583408456246,1197.0623469699108,-0.4908930836915406,True,True
16696,239.20472217099484,813.8670002782254,1162.2642807653567,True,43.932538392195234,direction,49.14236398423906,24.57118199211953,248.1195634449445,0.42217661546533236,True,True
16697,606.0410103012131,618.2037552209704,1079.0997872323517,True,70.46654607569064,direction,37.067787683851385,18.533893841925693,612.1957139337947,0.26432549041902575,True,True
16698,834.493512494198,564.8676848022197,1146.2458453244299,True,89.06068931623994,direction,35.93999964311052,17.96999982155526,835.8652341563777,-0.18311220264960326,True,True
16699,762.4593676745286,569.2645062525368,1025.4513700920445,True,83.74414053062279,direction,35.049743347703114,17.524871673851557,764.5401747403357,0.19827407644805817,True,True
16700,469.0842056352544,669.5852298587049,1336.6024214271201,True,58.13659840371707,direction,41.32092646727629,20.660463233638144,453.56699073994685,0.3331015483595934,True,True
16701,500.46478490608365,662.9218901449963,1233.092194176063,True,62.14099965597325,direction,39.4014815573515,19.70074077867575,516.7116936006374,0.3057241374144155,True,True
16702,664.0948853684814,601.4692660329201,1343.2744148866068,True,75.7078633155197,direction,36.168485936449486,18.084242968224743,661.5271874578882,0.2429370292811086,True,True
16703,950.7711409369656,596.5857457021688,1164.5677751137541,True,76.75685823601783,direction,44.0873849160285,22.04369245801425,952.7538656040285,-0.2525590582265611,True,True
16704,1191.298892796572,681.6550134410279,1280.827743775191,True,57.029732261671434,direction,68.21533329633253,34.107666648166266,1183.0575109235047,-0.47383224499391474,True,True
16705,864.6478038745362,578.3788201855782,1000.0799390100827,True,85.28942534351154,direction,37.802301959549546,18.901150979774773,865.8022823722633,-0.19814518119743862,True,True
