angle_deg,mean_diameter_m,conservative_mean_m
5.461250000000000426e+01,7.192707349136870221e+01,7.551919064790430980e+01
5.477499999999999858e+01,7.205160594849172639e+01,7.565772940624859189e+01
5.493750000000000000e+01,7.217670846244216420e+01,7.579492934995032272e+01
5.510000000000000142e+01,7.230238739368608947e+01,7.593259388422599443e+01
5.526250000000000284e+01,7.242864689299034353e+01,7.607310124429575637e+01
5.542500000000000426e+01,7.255548480586392657e+01,7.621428394339284296e+01
5.558749999999999858e+01,7.268289412852809050e+01,7.635613648493057326e+01
5.575000000000000000e+01,7.281088103864564687e+01,7.649864683500452145e+01
5.591250000000000142e+01,7.293944458778517514e+01,7.664181629670001428e+01
5.607500000000000284e+01,7.306858305430843359e+01,7.678549282299013612e+01
5.623750000000000426e+01,7.319827545171220606e+01,7.692646725706674715e+01
5.639999999999999858e+01,7.332853698858319547e+01,7.707099677878987620e+01
5.656250000000000000e+01,7.345937108862203502e+01,7.721679799025685043e+01
5.672500000000000142e+01,7.359077693132539366e+01,7.736324626312475061e+01
5.688750000000000284e+01,7.372275371010435663e+01,7.751035503790059522e+01
5.705000000000000426e+01,7.385529562164214212e+01,7.765812309389006884e+01
5.721249999999999858e+01,7.398840037646412782e+01,7.780585881325674791e+01
5.737500000000000000e+01,7.412205721689984728e+01,7.795125923117625177e+01
5.753750000000000142e+01,7.425628144851403079e+01,7.810097777370977212e+01
5.770000000000000284e+01,7.439107220541144727e+01,7.825133991096606678e+01
5.786250000000000426e+01,7.452642419679710883e+01,7.840236244378887420e+01
5.802499999999999858e+01,7.466233854187680663e+01,7.855404124030286539e+01
5.818750000000000000e+01,7.479881723984075848e+01,7.870638353255905884e+01
5.835000000000000142e+01,7.493584117796446264e+01,7.885563187797085050e+01
5.851250000000000284e+01,7.507342492672665912e+01,7.900851588450471752e+01
5.867500000000000426e+01,7.521156758578513291e+01,7.916277423369697885e+01
5.883749999999999858e+01,7.535026794014305551e+01,7.931769054240990613e+01
5.900000000000000000e+01,7.548952907172186144e+01,7.947326109579285003e+01
