variant,seed,mode,length_scale_m,source_count,completed,time_per_source_s,virtual_time_s,distance_m,measures,switches,clear_failures,fallback_attempts,stations_visited,runtime_s,mean_first_discovery_s,last_first_discovery_s,containment_violations,nearby_effective_bearings
eighth,1012102,edge_outward,900.0,16,True,475.8619625551967,7613.791400883148,27098.957004415737,350,325,13,0,21,0.20353300000351737,4303.702001,6110.670206,0,0
eighth,1012200,rotated_cluster,100.0,10,True,530.8912643578767,5308.912643578767,18424.56321789384,248,232,34,0,21,0.19107199999780278,553.9442097,2019.242097,0,0
eighth,1012200,rotated_cluster,300.0,10,True,532.1424536705522,5321.424536705522,18457.122683527617,248,232,36,0,21,0.20861860000150045,553.9442097,2019.242097,0,0
eighth,1012200,rotated_cluster,900.0,10,True,532.3437932581915,5323.4379325819145,18452.18966290958,248,232,37,0,21,0.20691079999960493,553.9442097,2019.242097,0,0
eighth,1012201,rotated_cluster,100.0,10,True,555.8019766366822,5558.019766366821,18490.09883183411,287,270,35,0,21,0.20617800000036368,1570.2235048,3488.144017,0,0
eighth,1012201,rotated_cluster,300.0,10,True,565.047278895757,5650.47278895757,18817.36394478786,292,275,34,0,21,0.23740080000061425,1670.5827367,3822.67479,0,0
eighth,1012201,rotated_cluster,900.0,10,True,565.9383374848222,5659.383374848222,18941.916874241113,289,271,35,0,21,0.21983179999733693,1570.2235048,3488.144017,0,0
eighth,1012300,minimum_range,100.0,12,True,518.9011109415763,6226.813331298917,23644.06665649458,241,230,1,0,21,0.3688501999968139,1012.4714760833333,2384.280406,0,0
eighth,1012300,minimum_range,300.0,12,True,519.5110272357441,6234.132326828929,23645.661634144646,242,232,1,0,21,0.3698108999997203,1013.04187625,2385.508634,0,0
eighth,1012300,minimum_range,900.0,12,True,494.3594332700905,5932.313199241086,21981.565996205438,248,236,0,0,21,0.3091132000008656,1178.86871975,2797.53996,0,0
eighth,1012301,minimum_range,100.0,13,True,441.0383038851973,5733.497950507565,21552.48975253784,228,218,0,0,21,0.3350938000003225,969.563053923077,3705.511511,0,0
eighth,1012301,minimum_range,300.0,13,True,441.5424545208765,5740.051908771395,21585.25954385698,228,218,0,0,21,0.3346118999979808,970.2506198461539,3709.385183,0,0
eighth,1012301,minimum_range,900.0,13,True,441.1891413624548,5735.458837711913,21562.294188559576,228,218,0,0,21,0.34127580000131275,971.0056663076923,3712.174202,0,0
eighth,1012400,edge_inset,100.0,16,True,520.7308830371284,8331.694128594054,30668.47064297027,351,324,13,2,18,0.4102716000015789,4115.7781254375,5590.311986,0,0
eighth,1012400,edge_inset,300.0,16,True,612.8786499240015,9806.058398784024,36455.29199392011,379,321,73,60,18,0.3986671999991813,4619.337324125,6326.121048,0,0
eighth,1012400,edge_inset,900.0,16,True,573.1125419507914,9169.800671212663,33769.003356063324,354,323,81,68,18,0.4005765000001702,4090.034278375,5546.739776,0,0
eighth,1012401,edge_inset,100.0,16,True,529.1484602699629,8466.375364319407,30726.876821597038,357,336,40,28,21,0.2784213000013551,4131.356322875,6761.232497,0,0
eighth,1012401,edge_inset,300.0,16,True,457.7918309532343,7324.669295251749,25683.346476258757,349,330,11,0,21,0.2590161000007356,4122.33689075,6720.209122,0,0
eighth,1012401,edge_inset,900.0,16,True,458.36988176046265,7333.918108167402,25624.590540837005,352,333,12,0,21,0.26422900000034133,4121.198771125,6729.998012,0,0
boundary,1012000,mixed,100.0,13,True,470.96242932765983,6122.511581259578,23227.557906297887,237,227,0,0,21,0.33068460000140476,880.6129163846155,4996.901079,0,0
boundary,1012000,mixed,300.0,13,True,451.83917011156547,5873.909211450351,22304.54605725176,227,213,0,0,21,0.20099589999881573,784.8625155384615,4679.194979,0,0
boundary,1012000,mixed,900.0,13,True,465.4510737665198,6050.863958964757,23274.319794823798,224,211,0,0,21,0.1931540000005043,829.7627618461538,4855.298937,0,0
boundary,1012001,mixed,100.0,14,True,431.47954267738214,6040.71359748335,23683.567987416747,208,191,1,0,21,0.20986880000054953,861.6356814999999,3526.490168,0,0
boundary,1012001,mixed,300.0,14,True,431.28451432108784,6037.9832004952295,23669.91600247615,208,191,1,0,21,0.1984900999996171,862.4675411428572,3527.163343,0,0
boundary,1012001,mixed,900.0,14,True,431.0451037413086,6034.63145237832,23683.157261891603,207,190,1,0,21,0.19832509999832837,861.6180715714286,3522.233939,0,0
